4:116 -> K: 21 | acc: 64.8
4:117 -> K: 21 | acc: 65.60000000000001
4:118 -> K: 21 | acc: 64.8
4:119 -> K: 20 | acc: 63.2
4:120 -> K: 20 | acc: 65.60000000000001
4:121 -> K: 20 | acc: 66.4
4:122 -> K: 20 | acc: 65.60000000000001
4:123 -> K: 20 | acc: 64.8
4:124 -> K: 20 | acc: 64.8
4:125 -> K: 20 | acc: 65.60000000000001
4:126 -> K: 20 | acc: 65.60000000000001
4:127 -> K: 24 | acc: 65.60000000000001
4:128 -> K: 20 | acc: 66.4
4:129 -> K: 22 | acc: 70.39999999999999
4:130 -> K: 22 | acc: 71.2
4:131 -> K: 22 | acc: 71.2
4:132 -> K: 22 | acc: 71.2
4:133 -> K: 22 | acc: 71.2
4:134 -> K: 22 | acc: 70.39999999999999
4:135 -> K: 22 | acc: 71.2
4:136 -> K: 22 | acc: 72.0
4:137 -> K: 22 | acc: 71.2
4:138 -> K: 22 | acc: 70.39999999999999
4:139 -> K: 21 | acc: 69.6
4:140 -> K: 22 | acc: 70.39999999999999
4:141 -> K: 22 | acc: 69.6
4:142 -> K: 22 | acc: 70.39999999999999
4:143 -> K: 22 | acc: 70.39999999999999
4:144 -> K: 21 | acc: 71.2
4:145 -> K: 21 | acc: 70.39999999999999
4:146 -> K: 21 | acc: 71.2
4:147 -> K: 21 | acc: 71.2
4:148 -> K: 22 | acc: 71.2
4:149 -> K: 22 | acc: 70.39999999999999
4:150 -> K: 22 | acc: 70.39999999999999
4:151 -> K: 22 | acc: 71.2
4:152 -> K: 20 | acc: 69.6
4:153 -> K: 20 | acc: 70.39999999999999
4:154 -> K: 22 | acc: 69.6
4:155 -> K: 22 | acc: 69.6
4:156 -> K: 22 | acc: 69.6
4:157 -> K: 20 | acc: 69.6
4:158 -> K: 22 | acc: 69.6
4:159 -> K: 21 | acc: 69.6
4:160 -> K: 22 | acc: 70.39999999999999
4:161 -> K: 22 | acc: 70.39999999999999
4:162 -> K: 22 | acc: 70.39999999999999
4:163 -> K: 22 | acc: 70.39999999999999
4:164 -> K: 22 | acc: 70.39999999999999
4:165 -> K: 21 | acc: 69.6
4:166 -> K: 22 | acc: 70.39999999999999
4:167 -> K: 22 | acc: 69.6
4:168 -> K: 22 | acc: 69.6
4:169 -> K: 20 | acc: 69.6
4:170 -> K: 20 | acc: 68.8
4:171 -> K: 22 | acc: 68.8
4:172 -> K: 20 | acc: 68.8
4:173 -> K: 22 | acc: 68.8
4:174 -> K: 22 | acc: 69.6
4:175 -> K: 22 | acc: 69.6
4:176 -> K: 22 | acc: 69.6
4:177 -> K: 22 | acc: 70.39999999999999
4:178 -> K: 22 | acc: 70.39999999999999
4:179 -> K: 22 | acc: 71.2
4:180 -> K: 22 | acc: 70.39999999999999
4:181 -> K: 22 | acc: 71.2
